orgnr,company_id_kpi,latest_year,latest_revenue_sek,latest_profit_sek,latest_ebitda_sek,latest_ebit_sek,latest_equity_sek,latest_debt_sek,latest_employees,revenue_growth_yoy,revenue_cagr_3y,revenue_cagr_5y,profit_growth_yoy,profit_cagr_3y,profit_cagr_5y,avg_ebitda_margin,avg_ebit_margin,avg_net_margin,roe,roa,equity_ratio,debt_to_equity,revenue_per_employee,ebitda_per_employee,profit_per_employee,company_size_bucket,growth_bucket,profitability_bucket,calculated_at,years_of_data,id,company_id_acc,year,period,period_start,period_end,currency,employees,scraped_at,adi_sek,adk_sek,adr_sek,ak_sek,ant_sek,awa_sek,be_sek,cpe_sek,dr_sek,ebitda_sek,ek_sek,eka_sek,fi_sek,fk_sek,fsd_sek,gg_sek,iac_sek,kb_sek,kbp_sek,lg_sek,min_sek,ors_sek,rg_sek,rpe_sek,sap_sek,sdi_sek,sed_sek,sek_sek,sf_sek,sfa_sek,sge_sek,si_sek,sia_sek,sik_sek,skg_sek,skgki_sek,sko_sek,slg_sek,som_sek,sub_sek,sv_sek,svd_sek,tr_sek,utr_sek,avk_eget_kapital_sek,avk_totalt_kapital_sek,loner_ovriga_sek,loner_styrelse_vd_sek,resultat_e_avskrivningar_sek,resultat_e_finansnetto_sek,summa_finansiella_anltillg_sek,summa_langfristiga_skulder_sek,summa_rorelsekostnader_sek,created_at,company_id,company_name,homepage,foundation_year,employees_latest,nace_categories,segment_names,address,city,postal_code,country,phone,email,scraped_at_enriched,updated_at,segment_id,composite_score,score_component_growth,score_component_profitability,score_component_efficiency,score_component_risk,score_component_data_quality,market_summary,financial_summary,risk_flags
5562182351,2JZKVDBI5YE9Q,2024.0,72792000.0,24790000.0,,2030200.0,0.0,-4000.0,1.0,194.7402518524517,0.20100821999980867,,249.00746163592848,0.41922881176981797,,,0.649681488400169,0.24249845817466728,,1.0223523589574397,0.0,,72792000.0,,24790000.0,medium,high,high,2025-11-20 22:34:27,4,5562182351_2025_2025-04,2JZKVDBI5YE9Q,2025,2025-04,2025-01-01,2025-04-30,SEK,1.0,2025-11-05T22:37:07.665Z,0.0,0.0,0.0,1900000.0,1.0,0.0,0.0,,37582000.0,,0.0,,849000.0,-2000.0,0.0,,0.0,0.0,149233000.0,0.0,,47330000.0,2049900.0,,0.0,70792000.0,149742000.0,142437000.0,0.0,0.0,149742000.0,70792000.0,0.0,135670000.0,7305000.0,0.0,-9748000.0,0.0,149742000.0,135670000.0,0.0,0.0,66900.0,0.0,,,,,,,,,,2025-11-20 22:34:20,2JZKVDBI5YE9Q,InvestmentPartners i Örebro Aktiebolag,,1982,1,"[""64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare""]","[""Finansbolag, finansiella tjänster"",""Värdepappershandel""]",,,,SE,,,2025-11-05T22:06:07.066Z,2025-11-20 22:34:06,5,1.7504682438254833,3.0,0.0018729753019328136,3.0,-0.0,1.0,General company with stable trajectory and unknown revenue in latest reported revenue.,"Operates with EBIT margin unavailable, net margin unavailable, and a lean team of 1 employees.",low equity cushion; declining topline
5566732557,2K2AEBXI5YFRC,2024.0,110255000.0,4110000.0,,74300.0,0.0,-13000.0,1.0,300.18511124823056,-0.18244944567338017,,85.72074107546317,0.5069526440111307,,,0.028755071809404575,0.05419051235222531,,0.31419616237290726,0.0,,110255000.0,,4110000.0,medium,high,healthy,2025-11-20 22:34:27,5,5566732557_2024_2024-12,2K2AEBXI5YFRC,2024,2024-12,2024-01-01,2024-12-31,SEK,1.0,2025-11-05T22:51:44.621Z,0.0,0.0,0.0,250000.0,1.0,0.0,0.0,,4110000.0,,0.0,,26000.0,-13000.0,-2125000.0,500.0,0.0,0.0,176000.0,72000.0,,5179000.0,74300.0,,0.0,110255000.0,22468000.0,11949000.0,148000.0,7347000.0,22468000.0,110255000.0,0.0,11699000.0,2748000.0,0.0,-1069000.0,0.0,15122000.0,0.0,13081000.0,0.0,6600.0,3342000.0,,,,,,,,,,2025-11-20 22:34:23,2K2AEBXI5YFRC,Dynamic Holding AB,,2004,1,"[""52100 Magasinering och varulagring"",""64991 Investment- och riskkapitalbolagsverksamhet""]","[""Finansbolag, finansiella tjänster"",""Lager"",""Riskkapitalbolag""]",,,,SE,,,2025-11-05T22:06:09.030Z,2025-11-20 22:34:06,5,1.7466042493817662,3.0,-0.013583002472935049,3.0,-0.0,1.0,General company with stable trajectory and unknown revenue in latest reported revenue.,"Operates with EBIT margin unavailable, net margin unavailable, and a lean team of 1 employees.",low equity cushion; declining topline
5594395138,2KIRAWYI63ILW,2024.0,61678000.0,47000.0,,268000.0,0.0,0.0,1.0,480.3895737272984,,,-20.33898305084746,,,,0.016518108647285357,0.0031569591142636437,,,0.0,,61678000.0,,47000.0,medium,high,low,2025-11-20 22:34:27,2,5594395138_2024_2024-12,2KIRAWYI63ILW,2024,2024-12,2024-01-01,2024-12-31,SEK,1.0,2025-11-05T22:37:59.647Z,16000.0,0.0,16000.0,25000.0,1.0,0.0,0.0,,47000.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,179000.0,17000.0,,64000.0,268000.0,,0.0,61678000.0,209000.0,131000.0,2000.0,0.0,209000.0,61662000.0,0.0,106000.0,78000.0,0.0,-17000.0,0.0,209000.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,,2025-11-20 22:34:27,2KIRAWYI63ILW,Ebitora Beverages AB,,2023,1,"[""46340 Partihandel med drycker""]","[""Grossister"",""Dryckesvaror""]",,,,SE,,,2025-11-05T22:06:17.867Z,2025-11-20 22:34:06,4,1.7465280993639816,3.0,-0.013887602544073986,3.0,-0.0,1.0,General company with stable trajectory and unknown revenue in latest reported revenue.,"Operates with EBIT margin unavailable, net margin unavailable, and a lean team of 1 employees.",low equity cushion; declining topline
5567066542,2K2HK1AI63ILW,2024.0,62895000.0,375000.0,,83300.0,-191000.0,-97000.0,1.0,289.92560446373216,0.3485451595313558,,87.5,-0.4399702098085748,,,0.010972960950754302,-0.025096586111556456,,0.08120398440883499,0.0,,62895000.0,,375000.0,medium,high,loss-making,2025-11-20 22:34:27,5,5567066542_2024_2024-12,2K2HK1AI63ILW,2024,2024-12,2024-01-01,2024-12-31,SEK,1.0,2025-11-05T22:35:43.310Z,527000.0,0.0,527000.0,100000.0,1.0,0.0,0.0,,375000.0,,-191000.0,,29000.0,-97000.0,0.0,,0.0,0.0,656000.0,13165000.0,,375000.0,83300.0,,0.0,62895000.0,23881000.0,2145000.0,12898000.0,1156000.0,23881000.0,62368000.0,1156000.0,2045000.0,21735000.0,1758000.0,0.0,0.0,22724000.0,0.0,4618000.0,0.0,800.0,0.0,,,,,,,,,,2025-11-20 22:34:24,2K2HK1AI63ILW,Rubic Beverages AB,,2006,1,"[""46340 Partihandel med drycker""]","[""Grossister"",""Dryckesvaror""]",,,,SE,,,2025-11-05T22:05:48.979Z,2025-11-20 22:34:06,4,1.746493592183555,3.0,-0.014025631265780684,3.0,-0.0,1.0,General company with stable trajectory and unknown revenue in latest reported revenue.,"Operates with EBIT margin unavailable, net margin unavailable, and a lean team of 1 employees.",low equity cushion; declining topline
5568300023,2K37ZSNI5YG1J,2024.0,134672000.0,9649000.0,,610100.0,-22000.0,-60000.0,1.0,198.3032826828512,0.3133486152326963,,348.3736059479554,0.2342369753635105,,,0.008406124504694886,0.04583919234766916,,2.648641229755696,0.0,,134672000.0,,9649000.0,medium,high,low,2025-11-20 22:34:27,5,5568300023_2024_2024-12,2K37ZSNI5YG1J,2024,2024-12,2024-01-01,2024-12-31,SEK,1.0,2025-11-05T22:51:27.581Z,578000.0,0.0,578000.0,100000.0,1.0,0.0,0.0,,9649000.0,,-22000.0,,821000.0,-60000.0,-2360000.0,200.0,0.0,0.0,17613000.0,0.0,,12206000.0,610100.0,,0.0,134672000.0,33121000.0,21533000.0,283000.0,1474000.0,33121000.0,134094000.0,0.0,21433000.0,4590000.0,0.0,-2557000.0,0.0,31647000.0,0.0,3643000.0,294000.0,10900.0,6900000.0,,,,,,,,,,2025-11-20 22:34:25,2K37ZSNI5YG1J,Gein-Maskiner AB,,2010,1,"[""46699 Partihandel med diverse övriga maskiner och utrustning""]","[""Pappersindustrimaskiner"",""Maskinförnödenheter"",""Grossister""]",,,,SE,,,2025-11-05T22:06:04.959Z,2025-11-20 22:34:06,5,1.746477618887041,3.0,-0.014089524451836193,3.0,-0.0,1.0,General company with stable trajectory and unknown revenue in latest reported revenue.,"Operates with EBIT margin unavailable, net margin unavailable, and a lean team of 1 employees.",low equity cushion; declining topline
