orgnr,company_id,company_name,company_type,homepage,email,phone,address,segment_names,nace_codes,foundation_year,employees_latest,accounts_last_year,created_at,updated_at
5569576050,5569576050,Östergård Kyckling AB,AB,,,,"{""addressLine"": ""Gnalöv"", ""postPlace"": ""Simrishamn"", ""postCode"": null, ""city"": ""Simrishamn"", ""county"": null, ""country"": ""Sweden""}","[""Jordbruk"",""Jordbruk - boskap och djurhållning""]","[""01472 Uppfödning av fjäderfä, ej äggproduktion""]",2014,1,,2025-11-07T09:37:21.317624,2025-11-07T09:37:21.317625
5590914015,5590914015,Örstig Måleri AB,AB,,,,"{""addressLine"": ""Kaprisvägen 37"", ""postPlace"": ""Nyköping"", ""postCode"": null, ""city"": ""Nyköping"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Måleriarbeten"",""Städservice""]","[""43341 Måleriarbeten"",""43390 Annan slutbehandling av byggnader"",""81210 Lokalvård""]",2016,29,,2025-11-07T09:37:21.317628,2025-11-07T09:37:21.317628
5560901836,5560901836,Örsjö Belysning AB,AB,,,,"{""addressLine"": ""Emmabodavägen 14"", ""postPlace"": ""Nybro"", ""postCode"": null, ""city"": ""Nybro"", ""county"": null, ""country"": ""Sweden""}","[""Belysningsarmatur - Komponenter"",""Elektronik - Systemkomponenter"",""Elektronik - Tillverkning"",""Producenter""]","[""27400 Tillverkning av belysningsarmatur""]",1963,30,,2025-11-07T09:37:21.317629,2025-11-07T09:37:21.317630
5569057671,5569057671,Öronkliniken Stockholm AB,AB,,,,"{""addressLine"": ""Valhallavägen 91"", ""postPlace"": ""Stockholm"", ""postCode"": null, ""city"": ""Stockholm"", ""county"": null, ""country"": ""Sweden""}","[""Hälsotjänster"",""Läkare""]","[""86221 Specialistläkarverksamhet inom öppenvård, på sjukhus"",""86222 Specialistläkarverksamhet inom öppenvård, ej på sjukhus""]",2012,31,,2025-11-07T09:37:21.317631,2025-11-07T09:37:21.317631
5560317280,5560317280,Örnsköldsviks Hamn och Logistik AB,AB,,,,"{""addressLine"": ""Sjögatan 4"", ""postPlace"": ""Örnsköldsvik"", ""postCode"": null, ""city"": ""Örnsköldsvik"", ""county"": null, ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier"",""Kontorstjänster"",""Lastning och lossning"",""Passagerartransporter""]","[""52241 Hamngodshantering"",""50301 Reguljär sjötrafik på inre vattenvägar av passagerare"",""52219 Övriga stödtjänster till landtransport"",""50401 Reguljär sjötrafik på inre vattenvägar av gods"",""70100 Verksamheter som utövas av huvudkontor""]",1932,30,,2025-11-07T09:37:21.317635,2025-11-07T09:37:21.317635
5565679049,5565679049,Örnalp Unozon AB,AB,,,,"{""addressLine"": ""Sjögatan 7"", ""postPlace"": ""Örnsköldsvik"", ""postCode"": null, ""city"": ""Örnsköldsvik"", ""county"": null, ""country"": ""Sweden""}","[""Kylanläggningar, frysanläggningar"",""Maskinförnödenheter"",""Metaller, legeringar"",""Kyl-, frysanläggningar - tillverkning"",""Maskinförnödenheter - tillverkning"",""Metaller, legeringar - Produktion"",""Metallurgisk industri"",""Producenter""]","[""28250 Tillverkning av maskiner och apparater för kyla och ventilation utom för hushåll"",""25290 Tillverkning av andra cisterner, tankar, kar och andra behållare av metall"",""24200 Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål"",""25620 Metallegoarbeten"",""28950 Tillverkning av maskiner för produktion av massa, papper och papp""]",1999,41,,2025-11-07T09:37:21.317637,2025-11-07T09:37:21.317637
5591975791,5591975791,Öresundteknik El AB,AB,,,,"{""addressLine"": null, ""postPlace"": null, ""postCode"": null, ""city"": null, ""county"": ""Skåne"", ""country"": ""Sweden""}","[""Byggmästare"",""Elinstallationer""]","[""43210 Elinstallationer""]",2019,26,,2025-11-07T09:37:21.317644,2025-11-07T09:37:21.317644
5594488230,5594488230,Öresundskraft Gasnät AB,AB,,,,"{""addressLine"": null, ""postPlace"": ""Helsingborg"", ""postCode"": null, ""city"": ""Helsingborg"", ""county"": null, ""country"": ""Sweden""}","[""Energiförsörjning""]","[""35220 Distribution av gasformiga bränslen via rörnät""]",2023,,,2025-11-07T09:37:21.317645,2025-11-07T09:37:21.317646
5568122096,5568122096,Öresunds Fasad & Kakel AB,AB,,,,"{""addressLine"": null, ""postPlace"": null, ""postCode"": null, ""city"": null, ""county"": ""Skåne"", ""country"": ""Sweden""}","[""Byggmästare""]","[""43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet""]",2010,18,,2025-11-07T09:37:21.317647,2025-11-07T09:37:21.317648
5568872906,5568872906,Öregrund Marine Service AB,AB,,,,"{""addressLine"": ""Varvsvägen 6"", ""postPlace"": ""Öregrund"", ""postCode"": null, ""city"": ""Öregrund"", ""county"": null, ""country"": ""Sweden""}","[""Bilar"",""Bilreparationer"",""Båtvarv, båtbyggare"",""Producenter""]","[""30120 Byggande av fritidsbåtar"",""45201 Allmän service och reparation av motorfordon utom motorcyklar""]",2012,35,,2025-11-07T09:37:21.317653,2025-11-07T09:37:21.317654
